city,pct_food,pct_hotel,pct_shopping,pct_tickets,pct_tour_agency,pct_transportation,total_expenses
Lhasa,0.019,0.0,0.031,0.036,0.567,0.347,1240.2
Guangzhou,0.031,0.165,0.003,0.045,0.0,0.756,386.95000000000005
Beijing,0.266,0.0,0.512,0.036,0.0,0.186,371.23
Shanghai,0.1,0.184,0.319,0.094,0.0,0.302,365.53
Datong,0.151,0.093,0.097,0.037,0.345,0.277,217.32999999999998
Suzhou,0.021,0.265,0.028,0.081,0.0,0.604,114.41
Mutianyu,0.115,0.0,0.043,0.426,0.0,0.417,65.24000000000001
Shigatse,0.315,0.0,0.685,0.0,0.0,0.0,39.49
