city,food,hotel,shopping,tickets,tour_agency,transportation,total_expenses
Lhasa,23.200000000000003,0.0,38.84,44.45,702.92,430.79,1240.2
Guangzhou,11.809999999999999,63.98,1.2200000000000002,17.54,0.0,292.40000000000003,386.95000000000005
Beijing,98.86,0.0,189.99,13.479999999999999,0.0,68.9,371.23
Shanghai,36.55,67.36,116.66,34.45,0.0,110.51,365.53
Datong,32.71,20.28,21.15,7.99,75.0,60.2,217.32999999999998
Suzhou,2.39,30.37,3.2399999999999998,9.26,0.0,69.15,114.41
Mutianyu,7.5,0.0,2.78,27.78,0.0,27.18,65.24000000000001
Shigatse,12.42,0.0,27.07,0.0,0.0,0.0,39.49
